Q00532	CDKL1
P59544	TAS2R50
Q569H4	PRR16
Q9BRR0	ZKSCAN3
A0A0B4J1Y9	IGHV3-72
Q8N2H4	SYS1
Q9UPC5	GPR34
P12318	FCGR2A
Q8NA56	TTC29
Q92777	SYN2
Q9NYD6	HOXC10
B0YJ81	HACD1
O60749	SNX2
Q9UBM4	OPTC
Q9NSQ0	RRP7BP
Q9BWE0	REPIN1
P58417	NXPH1
Q9NQ66	PLCB1
Q9GZS1	POLR1E
Q9P2E9	RRBP1
Q9C0D2	CEP295
A0A0G2JLQ3	KIR2DS5
Q9BXA7	TSSK1B
Q7Z6I6	ARHGAP30
P07510	CHRNG
O60656	UGT1A9
P53597	SUCLG1
Q9Y6I9	TEX264
A1X283	SH3PXD2B
Q70EK8	USP53
Q9BYK8	HELZ2
Q5TZ20	OR2G6
Q12809	KCNH2
Q96I34	PPP1R16A
Q96LB1	MRGPRX2
Q96MC5	BMERB1
P49815	TSC2
Q92496	CFHR4
Q9UP38	FZD1
O00175	CCL24
O00292	LEFTY2
Q8N2H9	PELI3
Q9UQ53	MGAT4B
O14525	ASTN1
P54652	HSPA2
Q6IEY1	OR4F16
Q6IEY1	OR4F29
Q6IEY1	OR4F3
A6NNE9	MARCHF11
Q9UJC3	HOOK1
Q9UMY1	NOL7
Q8WTP9	XAGE3
Q9H4Y5	GSTO2
A0A087WT01	TRAV27
P04049	RAF1
A8MPP1	DDX11L8
Q15084	PDIA6
P28330	ACADL
Q3ZCM7	TUBB8
Q9UM13	ANAPC10
Q6ZN32	ETV3L
Q14576	ELAVL3
Q02297	NRG1
Q86UD3	MARCHF3
O75031	HSF2BP
P01569	IFNA5
Q92618	ZNF516
Q9P242	NYAP2
Q5SW24	DACT2
Q8NC42	RNF149
Q16816	PHKG1
P48048	KCNJ1
O14879	IFIT3
P0C617	OR5AL1
Q02318	CYP27A1
Q3V5L5	MGAT5B
Q9P2H0	CEP126
A6NK02	TRIM75
P01825	IGHV4-59
Q9BQ08	RETNLB
P50281	MMP14
Q9BXB4	OSBPL11
Q9NPB8	GPCPD1
Q8N9S9	SNX31
Q96M11	HYLS1
Q9ULE6	PALD1
A6NNA5	DRGX
Q8WUJ0	STYX
Q96KS9	FAM167A
Q63HM2	PCNX4
Q96G23	CERS2
Q6ZU35	CRACD
P50613	CDK7
Q9NZQ8	TRPM5
Q07666	KHDRBS1
Q7L5N7	LPCAT2
P0C1H6	H2BW2
Q8WWA1	TMEM40
Q9H898	ZMAT4
Q14494	NFE2L1
Q9H4G1	CST9L
Q92989	CLP1
Q9NQB0	TCF7L2
A8MV23	SERPINE3
A0A2Z4LIS9	FOXO3B
O94941	UBOX5
Q07973	CYP24A1
Q5QFB9	PAPPA-AS1
Q9P0L9	PKD2L1
Q9Y6Q9	NCOA3
A6NNV3	SPDYE16
Q7Z5R6	APBB1IP
Q92900	UPF1
P24278	ZBTB25
Q14511	NEDD9
P09972	ALDOC
Q9P0M9	MRPL27
Q49SQ1	GPR33
Q70SY1	CREB3L2
O60733	PLA2G6
P02647	APOA1
Q96DA6	DNAJC19
Q96JK9	MAML3
Q96QT6	PHF12
Q9GZP1	NRSN2
Q8IW93	ARHGEF19
Q9NQC7	CYLD
P16422	EPCAM
P50995	ANXA11
Q8TDD1	DDX54
Q8N3Z0	PRSS35
Q9BSF0	C2orf88
P35558	PCK1
P02458	COL2A1
Q09161	NCBP1
Q494X3	ZNF404
Q9Y673	ALG5
Q9BYB0	SHANK3
Q9UMQ6	CAPN11
Q9GZW5	SCAND2P
P23942	PRPH2
Q9ULK2	ATXN7L1
Q86XX4	FRAS1
Q8NBQ5	HSD17B11
Q92772	CDKL2
Q99627	COPS8
Q15166	PON3
Q8WXX0	DNAH7
P31321	PRKAR1B
Q9Y3D8	AK6
P04350	TUBB4A
P02765	AHSG
Q717R9	CYS1
Q8N5A5	ZGPAT
P25067	COL8A2
P0C646	OR52Z1P
Q9GZS3	SKIC8
P59022	DSCR10
P48681	NES
Q92681	RSC1A1
Q53H47	SETMAR
Q9H0E3	SAP130
Q13972	RASGRF1
Q6PRD1	GPR179
Q9H7V2	SYNDIG1
Q8WWQ0	PHIP
Q96EL1	INKA1
Q9BRR6	ADPGK
Q9H9A7	RMI1
Q8IWZ5	TRIM42
P62701	RPS4X
O94864	SUPT7L
Q8WWZ7	ABCA5
Q96JH8	RADIL
P57679	EVC
Q9UQV4	LAMP3
Q9NV72	ZNF701
O76080	ZFAND5
P22897	MRC1
Q969I3	GLYATL1
O14558	HSPB6
Q7L5N1	COPS6
Q8WX92	NELFB
Q9BYN8	MRPS26
C9JUS6	ADM5
O00341	SLC1A7
Q9NRX2	MRPL17
P60008	H1-9P
Q6QAJ8	TMEM220
Q9NRR5	UBQLN4
Q8IY42	C4orf19
Q9ULI2	RIMKLB
Q9BW19	KIFC1
P63316	TNNC1
